COD_NODO_IRI;LIVELLO;LEMMA_NODO_IT;LEMMA_NODO_EN;COLLEG_MAPPA_CLAIST_SINT;COLLE_CLASS_TITOLI;DEFINIZIONE_IT;DESCRIZIONE_IT;ALT_LAB_IT;DEFINIZIONE_EN;ALT_LAB_EN;NOTE
CPS_16;1;IeFP - Istruzione e formazione professionale (triennale);IeFP -Vocational education and training (3 years);"306.01; 306.02; 306.03";CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione destinato agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. È istituito ai fini dell'assolvimento del diritto-dovere all'istruzione e alla formazione sino al conseguimento di almeno una qualifica professionale triennale entro il diciottesimo anno di età. Tali percorsi di istruzione e formazione professionale hanno una durata triennale, permettono di conseguire un attestato di qualifica professionale. I percorsi sono erogati dalle istituzioni formative accreditate dalle Regioni, o dagli Istituti Professionali nell’ambito dell’offerta formativa sussidiaria organizzata dalle Regioni (in accordo con gli Uffici Scolastici Regionali).;"Artt. 1-2, decreto legislativo 13 aprile 2017, n. 61 ""Revisione dei percorsi dell'istruzione professionale nel rispetto dell'articolo 117 della Costituzione, nonché raccordo con i percorsi dell'istruzione e formazione professionale, a norma dell'articolo 1, commi 180 e 181, lettera d), della legge 13 luglio 2015, n. 107""  (c.d. La buona scuola);
Artt. 1, 15-18 , decreto legislativo 17 ottobre 2005 n. 226 ""Norme generali e livelli essenziali delle prestazioni relativi al secondo ciclo del sistema educativo di istruzione e formazione, a norma dell'articolo 2 della legge 28 marzo 2003, n. 53"" (c.d. riforma Moratti);
Decreto del Ministro dell’istruzione di concerto con il Ministro del lavoro e delle politiche sociali 7 luglio 2020, n. 56 ""Recepimento dell’Accordo tra il Ministro dell’istruzione, dell’università e della ricerca, il Ministro del lavoro e delle politiche sociali, le Regioni e le Province Autonome di Trento e Bolzano riguardante l’integrazione e modifica del Repertorio nazionale delle figure nazionali di riferimento per le qualifiche e i diplomi professionali, l’aggiornamento degli standard minimi formativi relativi alle competenze di base e dei modelli di attestazione intermedia e finale dei percorsi di Istruzione e Formazione Professionale, di cui all’Accordo in Conferenza Stato-Regioni del 27 luglio 2011"";
Accordo in Conferenza Stato-Regioni 1° agosto 2019, n. 155 ""riguardante l’integrazione e modifica del Repertorio nazionale delle figure nazionali di riferimento per le qualifiche e i diplomi professionali, l’aggiornamento degli standard minimi formativi relativi alle competenze di base e dei modelli di attestazione intermedia e finale dei percorsi di Istruzione e Formazione Professionale, di cui all’Accordo in Conferenza Stato-Regioni del 27 luglio 2011"";
Decreto del Ministero dell'istruzione, dell'università e della ricerca 23 aprile 2012 ""Recepimento dell'Accordo sancito nella seduta della Conferenza Stato Regioni del 19 gennaio 2012, tra il Ministro dell'istruzione, dell'università e della ricerca, il Ministro del lavoro e delle politiche sociali, le Regioni e le Province autonome di Trento e Bolzano riguardante l'integrazione del Repertorio delle figure professionali di riferimento nazionale, approvato con l'Accordo in Conferenza Stato-Regioni del 27 luglio 2011"";
Accordo in Conferenza Stato-Regioni 27 luglio 2011, n. 66 ""riguardante la definizione delle aree professionali relative alle figure professionali di riferimento dei percorsi di istruzione e formazione professionale di cui al decreto legislativo 17 ottobre 2005, n. 226"".";;;;
CPS_17;1;IeFP - Istruzione e formazione professionale (quadriennale);IeFP - Vocational education and training (4 years);"307.01; 307.02; 307.03";CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione destinati agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. È istituito ai fini dell'assolvimento del diritto-dovere all'istruzione e alla formazione sino al conseguimento di almeno una qualifica professionale triennale entro il diciottesimo anno di età. Tali percorsi di istruzione e formazione professionale hanno una durata quadriennale, permettono di conseguire un titolo di diploma professionale e si inseriscono nel contesto della filiera formativa tecnologico-professionale prevista dalla legge 121/2024. I percorsi sono erogati dalle istituzioni formative accreditate dalle Regioni, o dagli Istituti Professionali nell’ambito dell’offerta formativa sussidiaria organizzata dalle Regioni (in accordo con gli Uffici Scolastici Regionali).;"Artt. 1-2, decreto legislativo 13 aprile 2017, n. 61 ""Revisione dei percorsi dell'istruzione professionale nel rispetto dell'articolo 117 della Costituzione, nonché raccordo con i percorsi dell'istruzione e formazione professionale, a norma dell'articolo 1, commi 180 e 181, lettera d), della legge 13 luglio 2015, n. 107""   (c.d. La buona scuola);
Artt. 1, 15-18, decreto legislativo 17 ottobre 2005 n. 226 ""Norme generali e livelli essenziali delle prestazioni relativi al secondo ciclo del sistema educativo di istruzione e formazione, a norma dell'articolo 2 della legge 28 marzo 2003, n. 53"" (c.d. riforma Moratti);
Decreto del Ministro dell’istruzione e del merito di concerto con il Ministro del lavoro e delle politiche sociali 22 aprile 2026, ""recante norme di attuazione dell'art. 25-bis, comma 4, lettera b) e comma 5 del decreto-legge 23 settembre 2022, n. 144, convertito con modificazioni con la legge 17 novembre 2022, n. 175, concernente la definizione di un sistema di valutazione dell'offerta formativa dei percorsi, di cui all'art. 17, comma 1, lettera b) del decreto legislativo 17 ottobre 2005, n. 226, ai fini della loro validazione per l'accesso delle studentesse e degli studenti, al termine dei percorsi quadriennali di istruzione e formazione professionale, ai percorsi formativi degli its academy e all'esame di maturità di istruzione professionale"";
Legge 8 agosto 2024, n. 121  ""Istituzione della filiera formativa tecnologico-professionale"".";;;;
CPS_18;1;Liceo;High school;"308.01; 308.02; 308.03";CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Il percorso, di durata quinquennale, ha l'obiettivo principale di fornire agli studenti strumenti culturali e metodologici per comprendere la realtà in modo critico, creativo e progettuale, preparandoli alla prosecuzione degli studi di ordine superiore e all’inserimento nella vita sociale e nel mondo del lavoro. Al superamento dell'esame di Stato conclusivo dei percorsi liceali è rilasciato il titolo di diploma liceale, indicante la tipologia di liceo e l'eventuale indirizzo, opzione o sezione seguita dallo studente.;"Art. 2, co. 2-3 e art. 11 co. 3, decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Art. 191 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".";;;;
CPS_19;1;Istituto tecnico;Technical institute;"309.01; 309.02; 309.03";CTS_3_20_10;Percorso del secondo ciclo del sistema educativo di istruzione e formazione, accessibile agli studenti in possesso del titolo conclusivo del primo ciclo di istruzione. Il percorso si caratterizza per una solida base culturale di carattere scientifico e tecnologico, costruita attraverso lo studio, l'approfondimento e l'applicazione di linguaggi e metodologie di carattere generale e specifico. Il percorso è suddiviso in diversi indirizzi correlati a settori fondamentali per lo sviluppo economico e produttivo del Paese, con l'obiettivo di far acquisire agli studenti conoscenze collegate all'esercizio di professioni tecniche, saperi e competenze necessari per un rapido inserimento nel mondo del lavoro e per l'accesso all'università e all'istruzione e formazione tecnica superiore. I percorsi degli istituti tecnici hanno durata quinquennale e si concludono con il conseguimento del diploma di istruzione secondaria superiore, collegato ai settori e all’indirizzo prescelto.;"Art. 2, decreto del Presidente della Repubblica 15 marzo 2010, n. 88 ""Regolamento recante norme per il riordino degli istituti tecnici a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Art. 191 del decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"".
Decreto del Ministero dell'istruzione e del merito n. 29 del 19 febbraio 2026 “concernente l'attuazione degli articoli 26 e 26 bis del decreto-legge 23 settembre 2022, n. 144, recante la revisione dell'assetto ordinamentale degli istituti tecnici e la definizione degli indirizzi, delle articolazioni, dei corrispondenti quadri orari e dei risultati di apprendimento in esito ai relativi percorsi, registrato alla Corte dei Conti il 06/03/2026 al n. 372”.";;;;
CPS_1;1;Servizi educativi per l'infanzia;Educational services for children;"010.01; 010.02";CTS_0_10_20;"Percorso educativo dalla nascita fino ai 3 anni, finalizzato a promuovere lo sviluppo globale del bambino, la socializzazione e il sostegno alla funzione educativa della famiglia. Rientra nel Sistema integrato di educazione e di istruzione per la fascia d’età 0-6 anni, creando un percorso di continuità educativa con la successiva Scuola dell’infanzia.
I servizi educativi per l'infanzia sono articolati in:
a) nidi e micronidi, da 3 a 36 mesi di età;
b) sezioni primavera, da 24 a 36 mesi di età, aggregate, di norma, alle scuole per l'infanzia;
c) servizi integrativi che concorrono all'educazione e alla cura dei bambini, accogliendo i bisogni delle famiglie in modo flessibile e diversificato. Si distinguono in:
1. spazi gioco, da 12 a 36 mesi, fino a cinque ore giornaliere;
2. centri per bambini e famiglie, dai primi mesi di vita, insieme ad un adulto accompagnatore;
3. servizi educativi in contesto domiciliare a numero ridotto, da 3 a 36 mesi.";"Decreto legislativo 13 aprile 2017, n. 65 “Istituzione del sistema integrato di educazione e di istruzione dalla nascita sino a sei anni, a norma dell'articolo 1, commi 180 e 181, lettera e), della legge 13 luglio 2015, n. 107;
Legge 6 dicembre 1971, n. 1044 “Piano quinquennale per l’istituzione di asili-nido comunali con il concorso dello Stato”.";;;;
CPS_2;1;Scuola materna;Nursery school;021.01;CTS_0_10_20;Percorso educativo di durata triennale. La scuola materna accoglie i bambini nell'età prescolastica da 3 a 6 anni, con finalità di educazione, di sviluppo della personalità infantile, di assistenza e di preparazione alla frequenza della scuola dell'obbligo, integrando l'opera della famiglia. L'iscrizione è facoltativa. Il percorso non è più in vigore nel sistema educativo attuale ed è stato sostituito dalla scuola dell'infanzia.;"Legge 18 marzo 1968, n. 444 “Ordinamento della scuola materna statale”;
Legge 28 marzo 2003, n. 53 ""Delega al Governo per la definizione delle norme generali sull'istruzione e dei livelli essenziali delle prestazioni in materia di istruzione e formazione professionale"" (c.d. “riforma Moratti”).";;;;
CPS_3;1;Scuola dell'infanzia;Kindergarten;022.01;CTS_0_10_20;Percorso educativo di durata triennale che realizza la continuità educativa con il complesso dei servizi all'infanzia, che accoglie i bambini fino ai 3 anni, e con la scuola primaria. Concorre all'educazione e allo sviluppo affettivo, psicomotorio, cognitivo, morale, religioso e sociale dei bambini, promuovendone le potenzialità di relazione, autonomia, creatività ed apprendimento. Può iscriversi chi compie i 3 anni di età entro il 30 aprile dell'anno scolastico di riferimento.;"Legge 28 marzo 2003, n. 53 ""Delega al Governo per la definizione delle norme generali sull'istruzione e dei livelli essenziali delle prestazioni in materia di istruzione e formazione professionale"" (c.d. riforma Moratti);
decreto del Presidente della Repubblica 20 marzo 2009, n. 89 “Revisione dell’assetto ordinamentale, organizzativo e didattico della scuola dell’infanzia e del primo ciclo”.";;;;
CPS_4;1;Scuola elementare;Elementary school;101.01;CTS_1_10_10;Percorso educativo della durata di cinque anni che rappresenta il primo livello della scuola di base all’interno del sistema nazionale di istruzione e formazione. Il requisito d’accesso è il compimento del 6° anno d’età entro il 31 dicembre dell’anno scolastico di riferimento per l’iscrizione obbligatoria, entro il 30 aprile per quella anticipata facoltativa (la cosiddetta primina). Inserito nel quadro dell’istruzione obbligatoria, il percorso ha il compito di costruire le competenze di base, promuovendo la prima alfabetizzazione culturale, lo sviluppo della personalità del fanciullo, concorrendo alla formazione dell'uomo e del cittadino nel rispetto e nella valorizzazione delle diversità individuali, sociali e culturali. Il percorso non è più in vigore nel sistema educativo attuale ed è stato sostituito dalla scuola primaria.;"Artt. 109, 118, decreto legislativo 16 aprile 1994, n. 297 ""Testo Unico delle disposizioni legislative vigenti in materia di istruzione, relative alle scuole di ogni ordine e grado"";
Legge 5 giugno 1990, n. 148 ""Riforma dell'ordinamento della scuola elementare"";
Legge 4 giugno 1911, n. 487 ""Provvedimenti per il Consiglio superiore della pubblica istruzione e per l'istruzione elementare e popolare"" (c.d. legge Daneo-Credaro);
Regio decreto 13 novembre 1859, n. 3725 ""Legge sull'ordinamento dell'istruzione pubblica"" (c.d. legge Casati).";;;;
CPS_5;1;Scuola primaria;Primary school;102.01;CTS_1_10_20;Percorso educativo della durata di cinque anni che costituisce il primo livello del primo ciclo di istruzione. Ha sostituito il precedente ordinamento della scuola elementare. Il requisito d’accesso è il compimento del 6° anno d’età entro il 31 dicembre dell’anno scolastico di riferimento per l’iscrizione obbligatoria, entro il 30 aprile per quella anticipata facoltativa (la cosiddetta primina). La scuola primaria ha il fine di far acquisire e sviluppare le conoscenze e le abilità di base, ivi comprese quelle relative all'alfabetizzazione informatica, fino alle prime sistemazioni logico-critiche, di fare apprendere i mezzi espressivi, la lingua italiana e l'alfabetizzazione nella lingua inglese, di porre le basi per l'utilizzazione di metodologie scientifiche nello studio del mondo naturale, dei suoi fenomeni e delle sue leggi, di valorizzare le capacità relazionali e di orientamento nello spazio e nel tempo, di educare ai principi fondamentali della convivenza civile.;"Artt. 5 e 19, decreto legislativo 19 febbraio 2004, n.59 ""Definizione delle norme generali relative alla scuola dell'infanzia e al primo ciclo dell'istruzione, a norma dell'articolo 1 della legge 28 marzo 2003, n. 53"".";;;;
CPS_32;1;Percorso di istruzione di 2° livello per adulti - altra istruzione liceale;Second-level education programme for adults (Provincial Centre for Adult Education) - other high school;328.01;CTS_3_20_10;"Percorso di istruzione omologo nella didattica a quello dei licei (d.p.r. 89/2010), fatta esclusione per il liceo artistico, e rivolto principalmente ad adulti e giovani lavoratori in possesso del titolo conclusivo del primo ciclo di istruzione che, per motivi personali o professionali, non possono frequentare la scuola durante il giorno. Si svolge in orario serale ed è organizzato in moduli e periodi didattici flessibili, con un monte ore corrispondente al 70% dei corsi diurni e con una durata complessiva tendenzialmente di 3 anni, per adattarsi alle esigenze degli studenti. Prevede il riconoscimento di crediti formativi per competenze già acquisite (formali, non formali e informali). È finalizzato al conseguimento di titoli di studio equivalenti a quelli dei corsi diurni. I destinatari sono: 
- adulti che vogliono completare il proprio percorso scolastico; 
- persone già inserite nel mondo del lavoro che desiderano riqualificarsi; 
- studenti che hanno interrotto gli studi e vogliono riprendere o che non posso seguire i corsi diurni; 
- cittadini stranieri in possesso del titolo di studio del primo ciclo.";"Artt. 3 e 4, decreto del Presidente della Repubblica 29 ottobre 2012, n. 263 ""Regolamento recante norme generali per la ridefinizione dell'assetto organizzativo didattico dei Centri d'istruzione per gli adulti, ivi compresi i corsi serali, a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini);
Decreto del Presidente della Repubblica 15 marzo 2010, n. 89 ""Regolamento recante revisione dell'assetto ordinamentale, organizzativo e didattico dei licei a norma dell'articolo 64, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla legge 6 agosto 2008, n. 133"" (c.d. riforma Gelmini).";;;;
