CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
01.47.00;Allevamento di pollame;Raising of poultry;Haltung von Geflügel
01.48;Allevamento di altri animali;Raising of other animals;Sonstige Tierhaltung
01.48.1;Allevamento di conigli;Raising of rabbits;Haltung von Kaninchen
01.48.10;Allevamento di conigli;Raising of rabbits;Haltung von Kaninchen
01.48.2;Allevamento di altri animali da pelliccia;Raising of other fur animals;Haltung von sonstigen Pelztieren
01.48.20;Allevamento di altri animali da pelliccia;Raising of other fur animals;Haltung von sonstigen Pelztieren
01.48.3;Apicoltura;Bee-keeping;Bienenzucht
01.48.30;Apicoltura;Bee-keeping;Bienenzucht
01.48.4;Bachicoltura;Sericulture;Seidenraupenzucht
01.48.40;Bachicoltura;Sericulture;Seidenraupenzucht
01.48.9;Allevamento di altri animali n.c.a.;Raising of other animals n.e.c.;Sonstige Tierhaltung a. n. g.
01.48.91;Allevamento di insetti;Raising of insects;Insektenzucht
01.48.99;Allevamento di altri animali vari n.c.a.;Raising of other various animals n.e.c.;Alle anderen Tierhaltungen a. n. g.
01.5;Coltivazioni agricole associate all'allevamento di animali: attività mista;Mixed farming;Gemischte Landwirtschaft
01.50;Coltivazioni agricole associate all'allevamento di animali: attività mista;Mixed farming;Gemischte Landwirtschaft
01.50.0;Coltivazioni agricole associate all'allevamento di animali: attività mista;Mixed farming;Gemischte Landwirtschaft
01.50.00;Coltivazioni agricole associate all'allevamento di animali: attività mista;Mixed farming;Gemischte Landwirtschaft
01.6;Attività di supporto all'agricoltura e attività successive alla raccolta;Support activities to agriculture and post-harvest crop activities;Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten
01.61;Attività di supporto alla produzione vegetale;Support activities for crop production;Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau
01.61.1;Manutenzione del terreno per mantenerlo in buone condizioni;Maintenance of land keeping it in good condition;Erhaltung des Bodens in gutem Zustand
01.61.10;Manutenzione del terreno per mantenerlo in buone condizioni;Maintenance of land keeping it in good condition;Erhaltung des Bodens in gutem Zustand
01.61.9;Attività di supporto alla produzione vegetale n.c.a.;Support activities for crop production n.e.c.;Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau a. n. g.
01.61.91;Trattamenti fitosanitari;Pesticides application;Behandlung mit Pflanzenschutzmitteln
01.61.99;Altre attività di supporto alla produzione vegetale n.c.a.;Other support activities for crop production n.e.c.;Erbringung von sonstigen landwirtschaftlichen Dienstleistungen für den Pflanzenbau a. n. g.
01.62;Attività di supporto alla produzione animale;Support activities for animal production;Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung
01.62.0;Attività di supporto alla produzione animale;Support activities for animal production;Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung
01.62.01;Attività di maniscalchi;Activities of farriers;Hufschmiedetätigkeiten
01.62.09;Altre attività di supporto alla produzione animale;Other support activities for animal production;Erbringung von sonstigen landwirtschaftlichen Dienstleistungen für die Tierhaltung
01.63;Attività successive alla raccolta e lavorazione delle sementi per la semina;Post-harvest crop activities and seed processing for propagation;Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung
01.63.1;Attività successive alla raccolta;Post-harvest crop activities;Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung
01.63.10;Attività successive alla raccolta;Post-harvest crop activities;Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung
01.63.2;Lavorazione delle sementi per la semina;Seed processing for propagation;Saatgutaufbereitung
01.63.20;Lavorazione delle sementi per la semina;Seed processing for propagation;Saatgutaufbereitung
01.7;Caccia, cattura di animali e servizi connessi;Hunting, trapping and related service activities;Jagd, Fallenstellerei und damit verbundene Tätigkeiten
01.70;Caccia, cattura di animali e servizi connessi;Hunting, trapping and related service activities;Jagd, Fallenstellerei und damit verbundene Tätigkeiten
01.70.0;Caccia, cattura di animali e servizi connessi;Hunting, trapping and related service activities;Jagd, Fallenstellerei und damit verbundene Tätigkeiten
01.70.00;Caccia, cattura di animali e servizi connessi;Hunting, trapping and related service activities;Jagd, Fallenstellerei und damit verbundene Tätigkeiten
02;Silvicoltura e utilizzo di aree forestali;Forestry and logging;Forstwirtschaft und Holzeinschlag
02.1;Silvicoltura e altre attività forestali;Silviculture and other forestry activities;Forstwirtschaft
02.10;Silvicoltura e altre attività forestali;Silviculture and other forestry activities;Forstwirtschaft
02.10.0;Silvicoltura e altre attività forestali;Silviculture and other forestry activities;Forstwirtschaft
02.10.00;Silvicoltura e altre attività forestali;Silviculture and other forestry activities;Forstwirtschaft
02.2;Utilizzo di aree forestali;Logging;Holzeinschlag
02.20;Utilizzo di aree forestali;Logging;Holzeinschlag
02.20.0;Utilizzo di aree forestali;Logging;Holzeinschlag
02.20.00;Utilizzo di aree forestali;Logging;Holzeinschlag
02.3;Raccolta di prodotti selvatici non legnosi;Gathering of wild growing non-wood products;Sammeln von wildwachsenden Produkten, ohne Holz
02.30;Raccolta di prodotti selvatici non legnosi;Gathering of wild growing non-wood products;Sammeln von wildwachsenden Produkten, ohne Holz
02.30.0;Raccolta di prodotti selvatici non legnosi;Gathering of wild growing non-wood products;Sammeln von wildwachsenden Produkten, ohne Holz
02.30.00;Raccolta di prodotti selvatici non legnosi;Gathering of wild growing non-wood products;Sammeln von wildwachsenden Produkten, ohne Holz
02.4;Servizi di supporto per la silvicoltura;Support services to forestry;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag
02.40;Servizi di supporto per la silvicoltura;Support services to forestry;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag
02.40.0;Servizi di supporto per la silvicoltura;Support services to forestry;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag
02.40.00;Servizi di supporto per la silvicoltura;Support services to forestry;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag
03;Pesca e acquacoltura;Fishing and aquaculture;Fischerei und Aquakultur
03.1;Pesca;Fishing;Fischerei
03.11;Pesca marina;Marine fishing;Meeresfischerei
03.11.0;Pesca marina;Marine fishing;Meeresfischerei
03.11.00;Pesca marina;Marine fishing;Meeresfischerei
03.12;Pesca in acque dolci;Freshwater fishing;Süßwasserfischerei
03.12.0;Pesca in acque dolci;Freshwater fishing;Süßwasserfischerei
03.12.00;Pesca in acque dolci;Freshwater fishing;Süßwasserfischerei
03.2;Acquacoltura;Aquaculture;Aquakultur
03.21;Acquacoltura marina;Marine aquaculture;Meeresaquakultur
03.21.0;Acquacoltura marina;Marine aquaculture;Meeresaquakultur
03.21.01;Coltivazione di alghe marine;Marine algae cultivation;Meeresalgenzucht
03.21.09;Altre attività di acquacoltura marina;Other activities of marine aquaculture;Sonstige Tätigkeiten der Meeresaquakultur
03.22;Acquacoltura in acque dolci;Freshwater aquaculture;Süßwasseraquakultur
03.22.0;Acquacoltura in acque dolci;Freshwater aquaculture;Süßwasseraquakultur
03.22.01;Coltivazione di alghe in acque dolci;Freshwater algae cultivation;Algenzucht in Süßwasser
03.22.09;Altre attività di acquacoltura in acque dolci;Other activities of freshwater aquaculture;Sonstige Tätigkeiten der Süßwasseraquakultur
03.3;Attività di supporto alla pesca e all'acquacoltura;Support activities for fishing and aquaculture;Erbringung von Dienstleistungen für Fischerei und Aquakultur
03.30;Attività di supporto alla pesca e all'acquacoltura;Support activities for fishing and aquaculture;Erbringung von Dienstleistungen für Fischerei und Aquakultur
03.30.0;Attività di supporto alla pesca e all'acquacoltura;Support activities for fishing and aquaculture;Erbringung von Dienstleistungen für Fischerei und Aquakultur
03.30.00;Attività di supporto alla pesca e all'acquacoltura;Support activities for fishing and aquaculture;Erbringung von Dienstleistungen für Fischerei und Aquakultur
B;ATTIVITÀ ESTRATTIVE;MINING AND QUARRYING;BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN
05;Estrazione di carbone e lignite;Mining of coal and lignite;Kohlenbergbau
05.1;Estrazione di antracite;Mining of hard coal;Steinkohlenbergbau
05.10;Estrazione di antracite;Mining of hard coal;Steinkohlenbergbau
05.10.0;Estrazione di antracite;Mining of hard coal;Steinkohlenbergbau
05.10.00;Estrazione di antracite;Mining of hard coal;Steinkohlenbergbau
05.2;Estrazione di lignite;Mining of lignite;Braunkohlenbergbau
05.20;Estrazione di lignite;Mining of lignite;Braunkohlenbergbau
05.20.0;Estrazione di lignite;Mining of lignite;Braunkohlenbergbau
05.20.00;Estrazione di lignite;Mining of lignite;Braunkohlenbergbau
06;Estrazione di petrolio greggio e gas naturale;Extraction of crude petroleum and natural gas;Gewinnung von Erdöl und Erdgas
06.1;Estrazione di petrolio greggio;Extraction of crude petroleum;Gewinnung von Erdöl
06.10;Estrazione di petrolio greggio;Extraction of crude petroleum;Gewinnung von Erdöl
06.10.0;Estrazione di petrolio greggio;Extraction of crude petroleum;Gewinnung von Erdöl
06.10.00;Estrazione di petrolio greggio;Extraction of crude petroleum;Gewinnung von Erdöl
06.2;Estrazione di gas naturale;Extraction of natural gas;Gewinnung von Erdgas
06.20;Estrazione di gas naturale;Extraction of natural gas;Gewinnung von Erdgas
06.20.0;Estrazione di gas naturale;Extraction of natural gas;Gewinnung von Erdgas
06.20.00;Estrazione di gas naturale;Extraction of natural gas;Gewinnung von Erdgas
07;Estrazione di minerali metalliferi;Mining of metal ores;Erzbergbau
07.1;Estrazione di minerali metalliferi ferrosi;Mining of iron ores;Eisenerzbergbau
07.10;Estrazione di minerali metalliferi ferrosi;Mining of iron ores;Eisenerzbergbau
07.10.0;Estrazione di minerali metalliferi ferrosi;Mining of iron ores;Eisenerzbergbau
07.10.00;Estrazione di minerali metalliferi ferrosi;Mining of iron ores;Eisenerzbergbau
07.2;Estrazione di minerali metalliferi non ferrosi;Mining of non-ferrous metal ores;NE-Metallerzbergbau
07.21;Estrazione di minerali di uranio e torio;Mining of uranium and thorium ores;Bergbau auf Uran- und Thoriumerze
07.21.0;Estrazione di minerali di uranio e torio;Mining of uranium and thorium ores;Bergbau auf Uran- und Thoriumerze
07.21.00;Estrazione di minerali di uranio e torio;Mining of uranium and thorium ores;Bergbau auf Uran- und Thoriumerze
07.29;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;Sonstiger NE-Metallerzbergbau
07.29.0;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;Sonstiger NE-Metallerzbergbau
07.29.00;Estrazione di altri minerali metalliferi non ferrosi;Mining of other non-ferrous metal ores;Sonstiger NE-Metallerzbergbau
08;Altre attività estrattive;Other mining and quarrying;Gewinnung von Steinen und Erden, sonstiger Bergbau
08.1;Estrazione di pietra, sabbia e argilla;Quarrying of stone, sand and clay;Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin
08.11;Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre;Quarrying of ornamental stone, limestone, gypsum, slate and other stone;Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein
08.11.0;Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre;Quarrying of ornamental stone, limestone, gypsum, slate and other stone;Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein
08.11.00;Estrazione di pietre ornamentali, calcare, pietra di gesso, ardesia e altre pietre;Quarrying of ornamental stone, limestone, gypsum, slate and other stone;Gewinnung von Naturwerksteinen, Kalk- und Gipsstein, Schiefer und sonstigem Gestein
08.12;Estrazione di ghiaia, sabbia, argilla e caolino;Operation of gravel and sand pits and mining of clay and kaolin;Gewinnung von Kies und Sand, Ton und Kaolin
08.12.0;Estrazione di ghiaia, sabbia, argilla e caolino;Operation of gravel and sand pits and mining of clay and kaolin;Gewinnung von Kies und Sand, Ton und Kaolin
08.12.00;Estrazione di ghiaia, sabbia, argilla e caolino;Operation of gravel and sand pits and mining of clay and kaolin;Gewinnung von Kies und Sand, Ton und Kaolin
08.9;Attività estrattive n.c.a.;Mining and quarrying n.e.c.;Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.
08.91;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Mining of chemical and fertiliser minerals;Bergbau auf chemische und Düngemittelminerale
08.91.0;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Mining of chemical and fertiliser minerals;Bergbau auf chemische und Düngemittelminerale
08.91.00;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti;Mining of chemical and fertiliser minerals;Bergbau auf chemische und Düngemittelminerale
08.92;Estrazione di torba;Extraction of peat;Torfgewinnung
08.92.0;Estrazione di torba;Extraction of peat;Torfgewinnung
08.92.00;Estrazione di torba;Extraction of peat;Torfgewinnung
08.93;Estrazione di sale;Extraction of salt;Gewinnung von Salz
08.93.0;Estrazione di sale;Extraction of salt;Gewinnung von Salz
08.93.01;Estrazione di sale dal sottosuolo;Extraction of salt from underground;Gewinnung von Salz aus dem Untergrund
08.93.02;Salicoltura marina;Marine saliculture;Meersalzgewinnung
08.93.03;Produzione di sale da salamoia;Salt production by evaporation of other saline waters;Herstellung von Salz aus Salzlake
08.99;Altre attività estrattive n.c.a.;Other mining and quarrying n.e.c.;Gewinnung von Steinen und Erden a. n. g.
08.99.0;Altre attività estrattive n.c.a.;Other mining and quarrying n.e.c.;Gewinnung von Steinen und Erden a. n. g.
08.99.01;Estrazione di asfalto e bitume naturale;Mining and quarrying of asphalt and natural bitumen;Gewinnung von Naturasphalt und -bitumen
08.99.09;Altre attività estrattive varie n.c.a.;Mining and quarrying of other minerals n.e.c.;Jegliche andere Gewinnung von Steinen und Erden a. n. g.
09;Attività dei servizi di supporto all'estrazione;Mining support service activities;Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden
09.1;Attività di supporto all'estrazione di petrolio e gas naturale;Support activities for petroleum and natural gas extraction;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas
09.10;Attività di supporto all'estrazione di petrolio e gas naturale;Support activities for petroleum and natural gas extraction;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas
09.10.0;Attività di supporto all'estrazione di petrolio e gas naturale;Support activities for petroleum and natural gas extraction;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas
09.10.00;Attività di supporto all'estrazione di petrolio e gas naturale;Support activities for petroleum and natural gas extraction;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas
09.9;Attività di supporto ad altre attività estrattive;Support activities for other mining and quarrying;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden
09.90;Attività di supporto ad altre attività estrattive;Support activities for other mining and quarrying;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden
09.90.0;Attività di supporto ad altre attività estrattive;Support activities for other mining and quarrying;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden
09.90.00;Attività di supporto ad altre attività estrattive;Support activities for other mining and quarrying;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden
C;ATTIVITÀ MANIFATTURIERE;MANUFACTURING;VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN
10;Produzione di prodotti alimentari;Manufacture of food products;Herstellung von Nahrungs- und Futtermitteln
10.1;Lavorazione e conservazione di carne e produzione di prodotti a base di carne;Processing and preserving of meat and production of meat products;Schlachten und Fleischverarbeitung
10.11;Lavorazione e conservazione di carne, esclusa la carne di volatili;Processing and preserving of meat, except of poultry meat;Schlachten, ohne Schlachten von Geflügel
10.11.0;Lavorazione e conservazione di carne, esclusa la carne di volatili;Processing and preserving of meat, except of poultry meat;Schlachten, ohne Schlachten von Geflügel
10.11.00;Lavorazione e conservazione di carne, esclusa la carne di volatili;Processing and preserving of meat, except of poultry meat;Schlachten, ohne Schlachten von Geflügel
10.12;Lavorazione e conservazione di carne di volatili;Processing and preserving of poultry meat;Schlachten von Geflügel
10.12.0;Lavorazione e conservazione di carne di volatili;Processing and preserving of poultry meat;Schlachten von Geflügel
10.12.00;Lavorazione e conservazione di carne di volatili;Processing and preserving of poultry meat;Schlachten von Geflügel
10.13;Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili;Production of meat and poultry meat products;Fleischverarbeitung
10.13.0;Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili;Production of meat and poultry meat products;Fleischverarbeitung
10.13.00;Produzione di prodotti a base di carne, inclusi prodotti a base di carne di volatili;Production of meat and poultry meat products;Fleischverarbeitung
10.2;Lavorazione e conservazione di pesce, crostacei e molluschi;Processing and preserving of fish, crustaceans and molluscs;Fischverarbeitung
10.20;Lavorazione e conservazione di pesce, crostacei e molluschi;Processing and preserving of fish, crustaceans and molluscs;Fischverarbeitung
10.20.0;Lavorazione e conservazione di pesce, crostacei e molluschi;Processing and preserving of fish, crustaceans and molluscs;Fischverarbeitung
10.20.01;Lavorazione di alghe;Processing of seaweed;Algenverarbeitung
10.20.09;Altre attività di lavorazione e conservazione di pesce, crostacei e molluschi;Other activities of processing and preserving of fish, crustaceans and molluscs;Sonstige Fischverarbeitungen
10.3;Lavorazione e conservazione di frutta e ortaggi;Processing and preserving of fruit and vegetables;Obst- und Gemüseverarbeitung
10.31;Lavorazione e conservazione di patate;Processing and preserving of potatoes;Kartoffelverarbeitung
10.31.0;Lavorazione e conservazione di patate;Processing and preserving of potatoes;Kartoffelverarbeitung
10.31.00;Lavorazione e conservazione di patate;Processing and preserving of potatoes;Kartoffelverarbeitung
10.32;Produzione di succhi a base di frutta e ortaggi;Manufacture of fruit and vegetable juice;Herstellung von Frucht- und Gemüsesäften
